"district.number","district.name","province","year","WinningParty","LiberalVotes","ConservativeVotes","NDPVotes","BlocVotes","GreenVotes","PeoplesVotes","IndependentVotes","votes"
48034,"Yellowhead","AB","2015","Conservative",7467,37950,4753,0,1538,0,0,52525
59001,"Abbotsford","BC","2015","Conservative",15777,23229,6593,0,2416,0,0,48124
59002,"Burnaby North--Seymour","BC","2015","Liberal",18938,14612,15537,0,2765,0,207,52480
59003,"Burnaby South","BC","2015","NDP",15547,12441,16094,0,1306,0,0,45887
59004,"Cariboo--Prince George","BC","2015","Conservative",16921,19688,13879,0,1860,0,657,53734
59005,"Central Okanagan--Similkameen--Nicola","BC","2015","Conservative",23059,24517,11961,0,2436,0,0,61973
59006,"Chilliwack--Hope","BC","2015","Conservative",17114,21445,9218,0,2386,0,0,50661
59007,"Cloverdale--Langley City","BC","2015","Liberal",24617,18800,8463,0,2195,0,0,54075
59008,"Coquitlam--Port Coquitlam","BC","2015","Liberal",19938,18083,15400,0,2076,0,0,56511
59009,"Courtenay--Alberni","BC","2015","NDP",15212,19714,26582,0,8201,0,0,69849
59010,"Cowichan--Malahat--Langford","BC","2015","NDP",14685,14091,22200,0,10462,0,0,61778
59011,"Delta","BC","2015","Liberal",27355,18255,8311,0,1768,0,0,55689
59012,"Fleetwood--Port Kells","BC","2015","Liberal",22871,14275,10463,0,1154,0,0,48763
59013,"Kamloops--Thompson--Cariboo","BC","2015","Conservative",21215,24595,21466,0,2489,0,0,69765
59014,"Kelowna--Lake Country","BC","2015","Liberal",29614,25502,9039,0,0,0,0,64155
59015,"Kootenay--Columbia","BC","2015","NDP",12315,23247,23529,0,4115,0,0,63206
59016,"Langley--Aldergrove","BC","2015","Conservative",21894,27333,7490,0,2644,0,0,59896
59017,"Mission--Matsqui--Fraser Canyon","BC","2015","Liberal",16625,15587,9174,0,2293,0,914,44651
59018,"Nanaimo--Ladysmith","BC","2015","NDP",16753,16637,23651,0,14074,0,0,71241
59019,"New Westminster--Burnaby","BC","2015","NDP",15253,10512,22876,0,2487,0,0,52642
59020,"North Okanagan--Shuswap","BC","2015","Conservative",20949,27490,17907,0,3608,0,0,69954
59021,"North Vancouver","BC","2015","Liberal",36458,17301,5015,0,5350,0,94,64354
59022,"Pitt Meadows--Maple Ridge","BC","2015","Liberal",17673,16373,15450,0,2202,0,452,52150
59023,"Port Moody--Coquitlam","BC","2015","NDP",16888,16112,19706,0,1878,0,0,54667
59024,"Prince George--Peace River--Northern Rockies","BC","2015","Conservative",12913,27237,8014,0,2672,0,0,51859
59025,"Richmond Centre","BC","2015","Conservative",16486,17622,4602,0,1152,0,0,39862
59026,"Esquimalt--Saanich--Sooke","BC","2015","NDP",18622,11912,23836,0,13575,0,0,68081
59027,"Saanich--Gulf Islands","BC","2015","Green",11380,13260,6181,0,37070,0,0,68140
59028,"Skeena--Bulkley Valley","BC","2015","NDP",8257,10936,22531,0,1605,0,0,44109
59029,"South Okanagan--West Kootenay","BC","2015","NDP",18732,19871,24823,0,2792,0,376,66594
59030,"South Surrey--White Rock","BC","2015","Conservative",23495,24934,5895,0,1938,0,0,56631
59031,"Steveston--Richmond East","BC","2015","Liberal",19486,16630,5248,0,1587,0,0,43225
59032,"Surrey Centre","BC","2015","Liberal",19471,8556,12992,0,1493,0,0,43198
59033,"Surrey--Newton","BC","2015","Liberal",24869,6978,11602,0,975,0,0,44424
59034,"Vancouver Centre","BC","2015","Liberal",32554,9818,11618,0,3370,0,0,58048
59035,"Vancouver East","BC","2015","NDP",16532,6322,29316,0,5395,0,216,58708
59036,"Vancouver Granville","BC","2015","Liberal",23643,14028,14462,0,1691,0,0,53824
59037,"North Island--Powell River","BC","2015","NDP",15416,15840,24340,0,4940,0,0,60536
59038,"Vancouver Kingsway","BC","2015","NDP",12625,9538,20763,0,1476,0,0,45396
59039,"Vancouver Quadra","BC","2015","Liberal",31102,13683,5748,0,2229,0,59,52972
59040,"Vancouver South","BC","2015","Liberal",21773,15115,6230,0,1149,0,0,44611
59041,"Victoria","BC","2015","NDP",8489,8480,30397,0,23666,0,124,71895
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country","BC","2015","Liberal",36300,17411,6554,0,5907,0,0,66458
60001,"Yukon","YU","2015","Liberal",10887,4928,3943,0,533,0,0,20291
61001,"Northwest Territories","NT","2015","Liberal",9172,3481,5783,0,537,0,0,18973
62001,"Nunavut","NU","2015","Liberal",5619,2956,3171,0,182,0,0,11928
10001,"Avalon","NL","2019","Liberal",19122,12855,7142,0,2215,0,0,41334
10002,"Bonavista--Burin--Trinity","NL","2019","Liberal",14707,12697,3855,0,920,0,0,32179
10003,"Coast of Bays--Central--Notre Dame","NL","2019","Liberal",16514,12081,4224,0,1363,0,0,34182
10004,"Labrador","NL","2019","Liberal",4851,3548,2796,0,224,0,0,11419
10005,"Long Range Mountains","NL","2019","Liberal",18199,10873,7609,0,1334,0,0,38426
10006,"St. John's East","NL","2019","NDP",14962,8141,21148,0,821,0,0,45072
10007,"St. John's South--Mount Pearl","NL","2019","Liberal",20793,7767,10890,0,740,335,0,40666
11001,"Cardigan","PEI","2019","Liberal",10939,6439,1481,0,3068,0,0,22167
11002,"Charlottetown","PEI","2019","Liberal",8812,4040,2238,0,4648,0,0,19910
11003,"Egmont","PEI","2019","Liberal",8016,6934,1230,0,3998,0,0,20178
11004,"Malpeque","PEI","2019","Liberal",9533,5908,1495,0,6103,0,0,23039
12001,"Cape Breton--Canso","NS","2019","Liberal",16694,14821,6354,0,3321,925,685,42940
12002,"Central Nova","NS","2019","Liberal",20718,13201,5806,0,3478,938,149,44470
12003,"Cumberland--Colchester","NS","2019","Liberal",16672,16219,5451,0,6015,608,232,45450
12004,"Dartmouth--Cole Harbour","NS","2019","Liberal",24259,8638,14435,0,5280,887,0,53499
12005,"Halifax","NS","2019","Liberal",23681,6456,16747,0,8013,633,0,55752
12006,"Halifax West","NS","2019","Liberal",26885,10488,10429,0,6555,0,0,54357
12007,"Kings--Hants","NS","2019","Liberal",20806,11905,8254,0,6029,786,0,48036
12008,"Sackville--Preston--Chezzetcook","NS","2019","Liberal",19925,11211,11860,0,5725,816,0,49537
12009,"South Shore--St. Margarets","NS","2019","Liberal",21886,14744,8361,0,6070,667,541,52518
12010,"Sydney--Victoria","NS","2019","Liberal",12536,11227,8146,0,2249,0,6159,40565
12011,"West Nova","NS","2019","Conservative",17025,18390,5010,0,5939,0,0,46798
13001,"Acadie--Bathurst","NB","2019","Liberal",26547,10352,6967,0,4277,0,0,48143
13002,"Beauséjour","NB","2019","Liberal",24948,9438,3940,0,14305,1054,0,53685
13003,"Fredericton","NB","2019","Green",13544,15011,2946,0,16640,776,0,49409
13004,"Fundy Royal","NB","2019","Conservative",12433,22389,4804,0,7275,1249,295,48646
13005,"Madawaska--Restigouche","NB","2019","Liberal",17331,9801,2212,0,5125,0,0,34469
13006,"Miramichi--Grand Lake","NB","2019","Liberal",12722,12352,2875,0,3914,1179,1556,34598
13007,"Moncton--Riverview--Dieppe","NB","2019","Liberal",22261,12200,6164,0,9287,1258,0,51828
13008,"New Brunswick Southwest","NB","2019","Conservative",10110,19451,3251,0,5352,1214,0,39578
13009,"Saint John--Rothesay","NB","2019","Liberal",15443,14006,5046,0,4165,1260,1333,41253
13010,"Tobique--Mactaquac","NB","2019","Conservative",9631,19229,3007,0,5398,936,0,38201
24001,"Abitibi--Baie-James--Nunavik--Eeyou","QB","2019","Bloc",8963,5240,4104,11432,1151,379,0,31656
24002,"Abitibi--Témiscamingue","QB","2019","Bloc",12417,7537,5093,22803,1818,487,0,50155
24003,"Ahuntsic-Cartierville","QB","2019","Liberal",28904,4013,6284,11974,3352,584,0,55111
24004,"Alfred-Pellan","QB","2019","Liberal",26015,5917,4109,15549,1958,471,113,54309
24005,"Argenteuil--La Petite-Nation","QB","2019","Liberal",18896,6044,3758,18167,2411,721,0,49997
24006,"Avignon--La Mitis--Matane--Matapédia","QB","2019","Bloc",12188,2756,1435,18500,699,210,0,35968
24007,"Beauce","QB","2019","Conservative",6971,22860,1847,8410,1461,16796,0,59429
24008,"Beauport--Limoilou","QB","2019","Bloc",13020,13185,5599,15149,2127,1033,0,50191
24009,"Bécancour--Nicolet--Saurel","QB","2019","Bloc",9332,8434,2732,29653,1697,489,0,52337
24010,"Bellechasse--Les Etchemins--Lévis","QB","2019","Conservative",10734,32283,3256,14754,1925,1307,0,64447
24011,"Beloeil--Chambly","QB","2019","Bloc",16059,4305,10086,35068,3255,512,0,69490
24012,"Berthier--Maskinongé","QB","2019","Bloc",7796,5812,19698,21200,1008,428,154,56354
24013,"Thérèse-De Blainville","QB","2019","Bloc",20988,5264,4431,24486,2710,366,89,58549
24014,"Pierre-Boucher--Les Patriotes--Verchères","QB","2019","Bloc",17333,4910,4192,31009,2955,384,0,60783
24015,"Bourassa","QB","2019","Liberal",23231,2899,3204,9043,1343,347,212,40351
24016,"Brome--Missisquoi","QB","2019","Liberal",23450,7697,4887,21152,3302,456,0,61441
24017,"Brossard--Saint-Lambert","QB","2019","Liberal",30537,6112,5410,11131,2935,527,0,56652
24018,"Rimouski-Neigette--Témiscouata--Les Basques","QB","2019","Bloc",10095,4073,13050,17314,824,232,0,45767
24019,"Charlesbourg--Haute-Saint-Charles","QB","2019","Conservative",12584,22484,4554,16053,2042,1379,0,59096
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","QB","2019","Bloc",10608,15044,2841,18407,1355,1045,0,50635
24021,"Châteauguay--Lacolle","QB","2019","Liberal",20118,5851,4005,19479,1929,563,0,52402
24022,"Chicoutimi--Le Fjord","QB","2019","Conservative",7504,16155,2855,15321,1388,359,0,43881
24023,"Compton--Stanstead","QB","2019","Liberal",21731,8446,5607,18571,3044,586,0,58237
24024,"Dorval--Lachine--LaSalle","QB","2019","Liberal",27821,5543,6207,8974,2898,528,0,52574
24025,"Drummond","QB","2019","Bloc",9552,9083,8716,24574,1856,525,0,54824
24026,"Gaspésie--Les Îles-de-la-Madeleine","QB","2019","Liberal",16296,3022,1722,15659,1130,198,0,38380
24027,"Gatineau","QB","2019","Liberal",29084,5745,6128,11926,2264,560,0,55783
24028,"Hochelaga","QB","2019","Liberal",18008,2381,11451,17680,2618,377,0,53037
24029,"Honoré-Mercier","QB","2019","Liberal",29543,4808,4130,9979,1373,459,0,50363
24030,"Hull--Aylmer","QB","2019","Liberal",29732,4979,7467,8011,3869,638,0,54993
24031,"Joliette","QB","2019","Bloc",12995,5176,2623,33590,2343,498,0,57699
24032,"Jonquière","QB","2019","Bloc",7849,10338,12141,17577,1009,453,0,49367
24033,"La Pointe-de-l'Île","QB","2019","Bloc",16898,3984,6057,26010,1910,388,0,55534
24034,"La Prairie","QB","2019","Bloc",22504,5540,4744,25707,2565,393,0,61553
24035,"Lac-Saint-Jean","QB","2019","Bloc",13633,12544,2753,23839,1010,448,0,54227
24036,"Lac-Saint-Louis","QB","2019","Liberal",34622,9083,7263,3169,4176,805,0,59525
24037,"LaSalle--Émard--Verdun","QB","2019","Liberal",22803,3690,8628,12619,3583,490,274,52391
24038,"Laurentides--Labelle","QB","2019","Bloc",21655,4983,4122,30625,3157,418,174,65406
24039,"Laurier--Sainte-Marie","QB","2019","Liberal",22306,1502,13453,12188,3225,320,42,53409
24040,"Laval--Les Îles","QB","2019","Liberal",26031,8816,4803,11120,2306,885,0,53961
24041,"Longueuil--Charles-LeMoyne","QB","2019","Liberal",20114,3811,5289,18794,2978,558,0,51544
24042,"Lévis--Lotbinière","QB","2019","Conservative",10761,28297,4355,15921,1908,2247,0,63489
24043,"Longueuil--Saint-Hubert","QB","2019","Bloc",20471,3779,5104,23061,6745,467,217,59844
24044,"Louis-Hébert","QB","2019","Liberal",25140,10912,4884,17375,2466,1016,267,62060
24045,"Louis-Saint-Laurent","QB","2019","Conservative",13571,29279,4339,14674,2155,1543,0,65561
24046,"Manicouagan","QB","2019","Bloc",7793,7771,1482,21768,1293,283,0,40390
24047,"Mégantic--L'Érable","QB","2019","Conservative",7388,23392,1936,12249,1258,812,217,47508
24048,"Mirabel","QB","2019","Bloc",16162,5940,5219,33219,3517,641,0,65030
24049,"Montarville","QB","2019","Bloc",21061,4138,4984,25366,2967,501,0,59228
24050,"Montcalm","QB","2019","Bloc",11200,4942,3514,31791,2416,524,0,54806
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","QB","2019","Conservative",8210,20989,3481,16261,1030,417,0,50388
24052,"Mount Royal","QB","2019","Liberal",24590,10887,3609,1757,2389,362,0,43679
24053,"Notre-Dame-de-Grâce--Westmount","QB","2019","Liberal",28323,5759,7753,2359,5397,565,98,50321
24054,"Outremont","QB","2019","Liberal",19148,2707,8319,5741,5018,369,0,41457
24055,"Papineau","QB","2019","Liberal",25957,2155,9748,8124,3741,322,76,50781
24056,"Pierrefonds--Dollard","QB","2019","Liberal",31305,9797,5687,4469,2866,711,636,55471
24057,"Pontiac","QB","2019","Liberal",30217,10416,6503,9929,3762,775,0,61847
24058,"Portneuf--Jacques-Cartier","QB","2019","Conservative",12876,28110,3758,15707,2308,1915,0,64674
24059,"Québec","QB","2019","Liberal",18047,8118,6220,17722,2949,674,0,54198
24060,"Repentigny","QB","2019","Bloc",18111,4878,4470,34837,2289,524,0,65456
24061,"Richmond--Arthabaska","QB","2019","Conservative",8868,26553,2864,16539,3133,681,0,58638
24062,"Rivière-des-Mille-Îles","QB","2019","Bloc",21009,4684,5002,23629,3015,845,0,58184
24063,"Rivière-du-Nord","QB","2019","Bloc",13402,7120,4194,31281,3345,407,127,60101
24064,"Rosemont--La Petite-Patrie","QB","2019","NDP",14576,1405,25575,14306,3539,293,0,60206
24065,"Marc-Aurèle-Fortin","QB","2019","Liberal",24865,5423,4741,18069,2111,465,143,55817
24066,"Saint-Hyacinthe--Bagot","QB","2019","Bloc",11903,8062,10297,23143,2031,478,0,55914
24067,"Saint-Jean","QB","2019","Bloc",18906,6612,4794,27750,3127,397,0,61875
24068,"Saint-Laurent","QB","2019","Liberal",23527,7005,4065,2845,2150,484,0,40147
24069,"Saint-Léonard--Saint-Michel","QB","2019","Liberal",27866,5423,2964,4351,1183,501,3061,45434
24070,"Saint-Maurice--Champlain","QB","2019","Liberal",23104,9542,3071,19950,1809,938,0,58414
24071,"Salaberry--Suroît","QB","2019","Bloc",18682,6116,5024,29975,1997,767,0,62903
24072,"Shefford","QB","2019","Bloc",22605,7495,3705,23503,2814,497,0,60913
24073,"Sherbrooke","QB","2019","Liberal",17490,6362,16881,15470,2716,0,471,59726
24074,"Vaudreuil--Soulanges","QB","2019","Liberal",32254,7804,7368,16600,3405,711,0,68142
24075,"Terrebonne","QB","2019","Bloc",17944,4640,4627,31029,2277,399,159,61335
24076,"Trois-Rivières","QB","2019","Bloc",15774,15240,10090,17240,1492,565,137,60538
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","QB","2019","Liberal",28087,4609,8274,6899,3718,520,117,52522
24078,"Vimy","QB","2019","Liberal",26490,5951,4779,15455,2125,733,0,55533
35001,"Ajax","ON","2019","Liberal",35198,15864,7033,0,2040,588,297,61020
35002,"Algoma--Manitoulin--Kapuskasing","ON","2019","NDP",9879,10625,16883,0,2192,887,0,40591
35003,"Aurora--Oak Ridges--Richmond Hill","ON","2019","Conservative",22508,23568,3820,0,2154,530,0,53109
35004,"Barrie--Innisfil","ON","2019","Conservative",15879,23765,8880,0,4716,1013,0,54253
35005,"Barrie--Springwater--Oro-Medonte","ON","2019","Conservative",16805,20981,7972,0,7066,969,0,53793
35006,"Bay of Quinte","ON","2019","Liberal",24099,22650,9851,0,3740,1207,0,61547
35007,"Beaches--East York","ON","2019","Liberal",32647,8026,12196,0,3378,831,0,57078
35008,"Brampton Centre","ON","2019","Liberal",18771,10696,7819,0,1685,681,0,39758
35009,"Brampton East","ON","2019","Liberal",24050,12125,13368,0,666,244,211,50753
35010,"Brampton North","ON","2019","Liberal",25970,13973,8533,0,1516,510,0,50502
35011,"Brampton South","ON","2019","Liberal",24085,13828,7985,0,1926,354,0,48683
35012,"Brampton West","ON","2019","Liberal",28743,12824,9855,0,1271,505,0,53683
35013,"Brantford--Brant","ON","2019","Conservative",20454,26849,13131,0,4257,1320,261,66666
35014,"Bruce--Grey--Owen Sound","ON","2019","Conservative",17485,26830,6797,0,5114,1614,0,58161
35015,"Burlington","ON","2019","Liberal",34989,23930,7372,0,4750,944,0,71985
35016,"Cambridge","ON","2019","Liberal",22903,17409,11177,0,4343,1872,0,57942
35017,"Chatham-Kent--Leamington","ON","2019","Conservative",16899,25359,8229,0,2233,1061,0,54088
35018,"Davenport","ON","2019","Liberal",23251,4921,21812,0,2397,496,165,53180
35019,"Don Valley East","ON","2019","Liberal",25295,10115,4647,0,1675,562,0,42294
35020,"Don Valley North","ON","2019","Liberal",23495,16506,4285,0,1803,482,0,46571
35021,"Don Valley West","ON","2019","Liberal",29148,16304,3804,0,2257,444,0,52234
35022,"Dufferin--Caledon","ON","2019","Conservative",22645,28852,7981,0,7303,1516,0,68616
35023,"Durham","ON","2019","Conservative",23547,30752,13323,0,3950,1442,0,73014
35024,"Eglinton--Lawrence","ON","2019","Liberal",29850,18549,4741,0,2278,586,0,56004
35025,"Elgin--Middlesex--London","ON","2019","Conservative",14324,31026,11019,0,3562,956,0,61754
35026,"Essex","ON","2019","Conservative",12987,28274,23603,0,2173,1251,0,68288
35027,"Etobicoke Centre","ON","2019","Liberal",32800,21804,4881,0,2775,664,0,63219
35028,"Etobicoke--Lakeshore","ON","2019","Liberal",36061,19952,8277,0,4141,921,0,69515
35029,"Etobicoke North","ON","2019","Liberal",26388,9524,4654,0,1080,1196,0,42946
35030,"Flamborough--Glanbrook","ON","2019","Conservative",22875,24527,10322,0,3833,982,0,62539
35031,"Glengarry--Prescott--Russell","ON","2019","Liberal",31293,23660,6851,0,2113,1174,239,65791
35032,"Guelph","ON","2019","Liberal",30497,14568,9297,0,19236,1087,219,75568
35033,"Haldimand--Norfolk","ON","2019","Conservative",14704,28018,9192,0,4878,1234,0,59926
35034,"Haliburton--Kawartha Lakes--Brock","ON","2019","Conservative",17067,32257,9676,0,5515,1245,0,65760
35035,"Hamilton Centre","ON","2019","NDP",12651,6341,20368,0,3370,833,377,44122
35036,"Hamilton East--Stoney Creek","ON","2019","Liberal",20112,13130,14930,0,2902,1072,0,52146
35037,"Hamilton Mountain","ON","2019","NDP",16057,13443,19135,0,3115,760,0,52949
35038,"Hamilton West--Ancaster--Dundas","ON","2019","Liberal",30214,17340,11527,0,4770,894,0,64901
35039,"Hastings--Lennox and Addington","ON","2019","Conservative",19721,21968,6984,0,3114,1307,0,53094
35040,"Huron--Bruce","ON","2019","Conservative",20167,29512,7421,0,2665,1102,0,60867
35041,"Kanata--Carleton","ON","2019","Liberal",28746,24361,8317,0,4387,961,0,66772
35042,"Kenora","ON","2019","Conservative",8335,9445,7923,0,1526,388,170,27787
35043,"King--Vaughan","ON","2019","Liberal",28725,27584,4297,0,2511,731,0,63848
35044,"Kingston and the Islands","ON","2019","Liberal",31205,13304,15856,0,6059,1769,0,68193
35045,"Kitchener Centre","ON","2019","Liberal",20316,13191,6238,0,14394,1033,0,55374
35046,"Kitchener--Conestoga","ON","2019","Liberal",20480,20115,5204,0,4946,790,0,51535
35047,"Kitchener South--Hespeler","ON","2019","Liberal",20986,17480,6945,0,5671,1005,0,52233
35048,"Lambton--Kent--Middlesex","ON","2019","Conservative",14814,28651,9355,0,3463,1804,0,58412
35049,"Lanark--Frontenac--Kingston","ON","2019","Conservative",15441,30077,8835,0,7011,1117,0,62481
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes","ON","2019","Conservative",15482,28630,8201,0,5152,988,0,58453
35051,"London--Fanshawe","ON","2019","NDP",14924,13770,22671,0,2781,1132,297,55575
35052,"London North Centre","ON","2019","Liberal",27247,15066,14887,0,4872,1532,0,63741
35053,"London West","ON","2019","Liberal",30622,19910,15220,0,3827,1171,0,71273
35054,"Markham--Stouffville","ON","2019","Liberal",25055,19703,4132,0,1621,537,13340,64388
35055,"Markham--Thornhill","ON","2019","Liberal",23899,15319,3233,0,1247,357,276,44331
35056,"Markham--Unionville","ON","2019","Conservative",20484,26133,3524,0,2394,861,0,53396
35057,"Milton","ON","2019","Liberal",30882,21564,3851,0,2769,613,0,59679
35058,"Mississauga Centre","ON","2019","Liberal",29974,15874,5173,0,1646,837,252,53756
35059,"Mississauga East--Cooksville","ON","2019","Liberal",27923,17664,4643,0,1578,637,0,52623
35060,"Mississauga--Erin Mills","ON","2019","Liberal",31181,19050,5236,0,2147,648,0,58262
35061,"Mississauga--Lakeshore","ON","2019","Liberal",29526,22740,5103,0,2814,717,0,60999
35062,"Mississauga--Malton","ON","2019","Liberal",27890,12528,6103,0,1251,369,0,48537
35063,"Mississauga--Streetsville","ON","2019","Liberal",29618,19474,6036,0,2688,706,0,58765
35064,"Nepean","ON","2019","Liberal",31933,23320,9104,0,4379,687,0,69583
35065,"Newmarket--Aurora","ON","2019","Liberal",26488,23252,6576,0,3551,588,0,61460
35066,"Niagara Centre","ON","2019","Liberal",20292,17987,15469,0,3054,776,0,57963
35067,"Niagara Falls","ON","2019","Conservative",22690,24751,12566,0,3404,968,4997,69734
35068,"Niagara West","ON","2019","Conservative",17429,24447,6540,0,3620,869,0,53924
35069,"Nickel Belt","ON","2019","Liberal",19046,10343,15656,0,2644,1159,0,48848
35070,"Nipissing--Timiskaming","ON","2019","Liberal",19352,12984,9784,0,3111,2496,0,47727
35071,"Northumberland--Peterborough South","ON","2019","Conservative",24977,27385,9615,0,5524,1460,0,68961
35072,"Oakville","ON","2019","Liberal",30265,25561,4928,0,3704,798,0,65401
35073,"Oakville North--Burlington","ON","2019","Liberal",33597,26484,5866,0,2925,751,0,69623
35074,"Oshawa","ON","2019","Conservative",15750,24087,17668,0,3151,1215,0,61983
35075,"Ottawa Centre","ON","2019","Liberal",38391,9920,22916,0,5837,720,242,78902
35076,"Orléans","ON","2019","Liberal",44183,22984,9428,0,3829,986,0,81410
35077,"Ottawa South","ON","2019","Liberal",34205,16025,10457,0,3645,717,228,65376
35078,"Ottawa--Vanier","ON","2019","Liberal",32679,11118,13516,0,4796,1064,305,63881
35079,"Ottawa West--Nepean","ON","2019","Liberal",28378,16876,11646,0,3894,839,0,62206
35080,"Oxford","ON","2019","Conservative",11745,29310,12306,0,4770,1774,0,60891
35081,"Parkdale--High Park","ON","2019","Liberal",28852,8015,19180,0,3916,643,0,60887
35082,"Parry Sound--Muskoka","ON","2019","Conservative",16615,22845,6417,0,8409,0,377,54663
35083,"Perth--Wellington","ON","2019","Conservative",15002,25622,8094,0,4949,894,0,55294
35084,"Peterborough--Kawartha","ON","2019","Liberal",27400,24357,11872,0,4930,890,180,69801
35085,"Pickering--Uxbridge","ON","2019","Liberal",32387,18462,7582,0,3799,1265,0,63495
35086,"Renfrew--Nipissing--Pembroke","ON","2019","Conservative",11532,31080,8786,0,3230,1463,2242,58957
35087,"Richmond Hill","ON","2019","Liberal",21804,21592,4425,0,1695,507,0,50149
35088,"Carleton","ON","2019","Conservative",26518,32147,6479,0,3423,792,0,69359
35089,"St. Catharines","ON","2019","Liberal",24183,18978,12431,0,3695,826,0,60113
35090,"Toronto--St. Paul's","ON","2019","Liberal",32494,12933,9442,0,4042,923,0,59834
35091,"Sarnia--Lambton","ON","2019","Conservative",12041,28623,12644,0,2490,1587,0,57916
35092,"Sault Ste. Marie","ON","2019","Liberal",16284,13407,9459,0,1809,741,0,41700
35093,"Scarborough--Agincourt","ON","2019","Liberal",21115,15492,3636,0,1050,521,0,41814
35094,"Scarborough Centre","ON","2019","Liberal",25695,10387,5452,0,1336,1162,2524,46556
35095,"Scarborough--Guildwood","ON","2019","Liberal",26123,9553,4806,0,1220,648,252,42742
35096,"Scarborough North","ON","2019","Liberal",20911,11838,5039,0,796,370,0,39037
35097,"Scarborough--Rouge Park","ON","2019","Liberal",31360,10115,5801,0,2330,467,0,50426
35098,"Scarborough Southwest","ON","2019","Liberal",28965,10502,7865,0,2477,590,0,50635
35099,"Simcoe--Grey","ON","2019","Conservative",23925,32812,8462,0,8589,1416,0,75509
35100,"Simcoe North","ON","2019","Conservative",19310,27241,8850,0,5882,1154,0,62778
35101,"Spadina--Fort York","ON","2019","Liberal",33822,10680,12188,0,3174,672,114,60650
35102,"Stormont--Dundas--South Glengarry","ON","2019","Conservative",13767,28976,7674,0,2126,1168,0,53711
35103,"Sudbury","ON","2019","Liberal",19643,9864,13885,0,3225,873,205,47977
35104,"Thornhill","ON","2019","Conservative",18946,29187,3469,0,1600,0,0,53496
35105,"Thunder Bay--Rainy River","ON","2019","Liberal",14498,12039,11944,0,1829,741,0,41051
35106,"Thunder Bay--Superior North","ON","2019","Liberal",18502,11036,9126,0,3639,734,0,43177
35107,"Timmins--James Bay","ON","2019","NDP",9443,9907,14885,0,1257,1248,0,36740
35108,"Toronto Centre","ON","2019","Liberal",31271,6613,12142,0,3852,0,126,54512
35109,"Toronto--Danforth","ON","2019","Liberal",27681,6091,19283,0,3761,621,210,58059
35110,"University--Rosedale","ON","2019","Liberal",29652,9342,12573,0,4861,510,0,57391
35111,"Vaughan--Woodbridge","ON","2019","Liberal",25810,18289,3910,0,1302,852,165,50328
35112,"Waterloo","ON","2019","Liberal",31085,15615,9710,0,6184,1112,0,63706
35113,"Wellington--Halton Hills","ON","2019","Conservative",19777,33044,6499,0,8851,1509,0,69680
35114,"Whitby","ON","2019","Liberal",30182,24564,9760,0,3735,860,0,69101
35115,"Willowdale","ON","2019","Liberal",22282,16452,4231,0,1671,563,271,45470
35116,"Windsor--Tecumseh","ON","2019","Liberal",19046,15851,18417,0,2177,1279,0,56957
35117,"Windsor West","ON","2019","NDP",18878,9925,20800,0,1325,958,0,51962
35118,"York Centre","ON","2019","Liberal",21680,15852,4251,0,1403,0,0,43186
35119,"York--Simcoe","ON","2019","Conservative",14407,24918,7620,0,4650,875,0,53781
35120,"York South--Weston","ON","2019","Liberal",25976,8415,7754,0,1633,685,0,44463
35121,"Humber River--Black Creek","ON","2019","Liberal",23187,6164,7198,0,804,402,0,37958
46001,"Brandon--Souris","MB","2019","Conservative",4972,26148,5805,0,2984,691,326,41206
46002,"Charleswood--St. James--Assiniboia--Headingley","MB","2019","Conservative",16398,18815,6556,0,2178,1975,140,46228
46003,"Churchill--Keewatinook Aski","MB","2019","NDP",5616,4714,11919,0,1144,294,0,23687
46004,"Dauphin--Swan River--Neepawa","MB","2019","Conservative",5344,26103,5724,0,2214,711,0,40566
46005,"Elmwood--Transcona","MB","2019","NDP",5346,16240,19786,0,1480,512,0,43364
46006,"Kildonan--St. Paul","MB","2019","Conservative",12356,19856,9387,0,1777,510,108,44298
46007,"Portage--Lisgar","MB","2019","Conservative",4779,31600,3872,0,2356,1169,0,44636
46008,"Provencher","MB","2019","Conservative",6347,31821,6187,0,2884,1066,0,48305
46009,"Saint Boniface--Saint Vital","MB","2019","Liberal",20300,15436,8037,0,2671,591,303,47338
46010,"Selkirk--Interlake--Eastman","MB","2019","Conservative",6003,31109,8873,0,2934,683,0,49602
46011,"Winnipeg Centre","MB","2019","NDP",10704,5561,13073,0,1661,474,0,31724
46012,"Winnipeg North","MB","2019","Liberal",15581,6820,8469,0,906,324,231,32735
46013,"Winnipeg South","MB","2019","Liberal",20182,18537,6678,0,2073,419,0,47889
46014,"Winnipeg South Centre","MB","2019","Liberal",22799,15051,8965,0,3173,569,0,50661
47001,"Battlefords--Lloydminster","SK","2019","Conservative",2426,28030,4098,0,605,662,0,35821
47002,"Cypress Hills--Grasslands","SK","2019","Conservative",1595,31140,3666,0,719,1075,220,38415
47003,"Desnethé--Missinippi--Churchill River","SK","2019","Conservative",7225,11531,7741,0,543,217,0,27257
