"district.number","district.name","province","year","WinningParty","LiberalVotes","ConservativeVotes","NDPVotes","BlocVotes","GreenVotes","PeoplesVotes","IndependentVotes","votes"
24034,"La Prairie","QB","2015","Liberal",20993,6859,13174,15107,1235,0,0,57572
24035,"Lac-Saint-Jean","QB","2015","Conservative",10193,18393,15735,10152,806,0,0,55279
24036,"Lac-Saint-Louis","QB","2015","Liberal",39965,10857,7997,1681,1812,0,0,62312
24037,"LaSalle--Émard--Verdun","QB","2015","Liberal",23603,3713,15566,9164,1717,0,0,53763
24038,"Laurentides--Labelle","QB","2015","Liberal",20277,6209,16644,18792,1251,0,0,63173
24039,"Laurier--Sainte-Marie","QB","2015","NDP",12938,2242,20929,15699,1904,0,160,54681
24040,"Laval--Les Îles","QB","2015","Liberal",25857,9811,10710,6731,921,0,0,54205
24041,"Longueuil--Charles-LeMoyne","QB","2015","Liberal",18301,4961,12468,13974,1510,0,0,51707
24042,"Lévis--Lotbinière","QB","2015","Conservative",13562,31357,9246,7163,1124,0,0,62588
24043,"Longueuil--Saint-Hubert","QB","2015","NDP",17468,5087,18171,15873,1447,0,0,58199
24044,"Louis-Hébert","QB","2015","Liberal",21516,16789,12850,8900,1561,0,0,61744
24045,"Louis-Saint-Laurent","QB","2015","Conservative",13852,32637,10296,6688,1210,0,0,64683
24046,"Manicouagan","QB","2015","Bloc",12343,4317,7359,17338,673,0,0,42030
24047,"Mégantic--L'Érable","QB","2015","Conservative",13308,16749,10386,5838,1006,0,0,47287
24048,"Mirabel","QB","2015","Bloc",15514,6020,17873,18710,1301,0,0,59418
24049,"Montarville","QB","2015","Liberal",18848,6284,14296,16460,1388,0,0,57917
24050,"Montcalm","QB","2015","Bloc",14484,5093,12431,19405,976,0,0,53009
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","QB","2015","Conservative",14002,14274,11918,7939,823,0,0,49243
24052,"Mount Royal","QB","2015","Liberal",24187,18201,3884,908,747,0,0,48051
24053,"Notre-Dame-de-Grâce--Westmount","QB","2015","Liberal",29755,7414,11229,1282,1581,0,151,51593
24054,"Outremont","QB","2015","NDP",14597,4159,19242,3668,1575,0,0,43619
24055,"Papineau","QB","2015","Liberal",26391,2390,13132,6182,1443,0,664,50770
24056,"Pierrefonds--Dollard","QB","2015","Liberal",34319,11694,9584,2043,865,0,0,58505
24057,"Pontiac","QB","2015","Liberal",34154,8716,14090,4337,1089,0,0,62625
24058,"Portneuf--Jacques-Cartier","QB","2015","Conservative",13322,27290,13686,6665,1096,0,0,62059
24059,"Québec","QB","2015","Liberal",15566,11737,14566,10153,1570,0,0,53867
24060,"Repentigny","QB","2015","Bloc",17798,7053,15167,22618,1242,0,0,65211
24061,"Richmond--Arthabaska","QB","2015","Conservative",14463,18505,14213,10068,984,0,0,58617
24062,"Rivière-des-Mille-Îles","QB","2015","Liberal",18787,6099,17111,14755,1136,0,158,58046
24063,"Rivière-du-Nord","QB","2015","Bloc",14933,4793,17077,18157,1436,0,0,56657
24064,"Rosemont--La Petite-Patrie","QB","2015","NDP",12068,2510,28672,12283,1783,0,0,58335
24065,"Marc-Aurèle-Fortin","QB","2015","Liberal",22323,6498,12827,11820,1057,0,0,54525
24066,"Saint-Hyacinthe--Bagot","QB","2015","NDP",14980,9098,15578,13200,1243,0,270,54369
24067,"Saint-Jean","QB","2015","Liberal",20022,6549,17555,14979,1281,0,0,60386
24068,"Saint-Laurent","QB","2015","Liberal",24832,7867,4646,1879,977,0,0,40330
24069,"Saint-Léonard--Saint-Michel","QB","2015","Liberal",28826,4957,6611,3204,805,0,0,44531
24070,"Saint-Maurice--Champlain","QB","2015","Liberal",24475,9592,12245,11295,1144,0,0,58947
24071,"Salaberry--Suroît","QB","2015","NDP",17955,6132,18726,17452,867,0,219,61535
24072,"Shefford","QB","2015","Liberal",22957,7529,13945,13092,1397,0,0,58920
24073,"Sherbrooke","QB","2015","NDP",17071,5391,21410,11717,1143,0,303,57300
24074,"Vaudreuil--Soulanges","QB","2015","Liberal",30550,9048,14627,9858,1445,0,0,65528
24075,"Terrebonne","QB","2015","Bloc",16316,6615,14928,19238,1016,0,0,58284
24076,"Trois-Rivières","QB","2015","NDP",18224,11231,19193,10249,1032,0,0,60289
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","QB","2015","Liberal",25491,5948,11757,4307,2398,0,0,50164
24078,"Vimy","QB","2015","Liberal",25082,7262,11391,9068,1280,0,0,54343
35001,"Ajax","ON","2015","Liberal",31458,19374,4630,0,788,0,0,56307
35002,"Algoma--Manitoulin--Kapuskasing","ON","2015","NDP",14111,9820,16516,0,927,0,0,41374
35003,"Aurora--Oak Ridges--Richmond Hill","ON","2015","Liberal",24132,23039,2912,0,654,0,0,50980
35004,"Barrie--Innisfil","ON","2015","Conservative",18308,22901,5812,0,1991,0,0,49341
35005,"Barrie--Springwater--Oro-Medonte","ON","2015","Conservative",21005,21091,5202,0,2648,0,188,50535
35006,"Bay of Quinte","ON","2015","Liberal",29281,19781,7001,0,1278,0,372,57713
35007,"Beaches--East York","ON","2015","Liberal",27458,9124,17113,0,1433,0,297,55530
35008,"Brampton Centre","ON","2015","Liberal",19277,13345,5993,0,844,0,0,39632
35009,"Brampton East","ON","2015","Liberal",23652,10642,10400,0,512,0,0,45206
35010,"Brampton North","ON","2015","Liberal",23297,15888,7946,0,915,0,0,48166
35011,"Brampton South","ON","2015","Liberal",23681,15929,4843,0,1011,0,0,45464
35012,"Brampton West","ON","2015","Liberal",24256,13068,5400,0,674,0,0,43398
35013,"Brantford--Brant","ON","2015","Conservative",19422,25874,15715,0,1582,0,164,63272
35014,"Bruce--Grey--Owen Sound","ON","2015","Conservative",21879,26297,6270,0,1887,0,0,56333
35015,"Burlington","ON","2015","Liberal",32229,29780,6381,0,1710,0,0,70100
35016,"Cambridge","ON","2015","Liberal",23024,20613,7397,0,1723,0,474,53339
35017,"Chatham-Kent--Leamington","ON","2015","Conservative",19351,21677,9549,0,1394,0,0,51971
